datestart	dateend	label	name	shortname	hashtag	homepage	city	country	venue	OSM-Link	coclink	Self-description	cfpdate	cfplink	type	tags	lat	lng	EntranceFee	ParticipantsLastTime	language	approved
20190302	20190303	Installfest				https://installfest.cz/if19	Prague	CZ	Fakulta elektrotechnicka	https://www.openstreetmap.org/?mlat=50.08006&mlon=14.39048#map=19/50.08006/14.39048			20181219	https://installfest.cz/if19/news/2								
20190304	20190304	Open Belgium			OpenBelgium19	http://www.openbelgium.be/	Brussel	BE	Herman Teirlinck Building	https://www.openstreetmap.org/way/444059131	http://2019.openbelgium.be/code-conduct	Open Belgium is an annual event about open knowledge and open data, gathering industry, research, government and citizen stakeholders. Experience this one-day community driven conference with talks, discussions, panels, workshops and become part of the open community.										
20190307	20190310	Drupal Mountain Camp				https://drupalmountaincamp.ch/	Davos	CH		https://www.openstreetmap.org/way/219442526	https://drupalmountaincamp.ch/code-conduct											
20190313	20190316	FOSSGIS-Konferenz				https://www.fossgis-konferenz.de/2019/	Dresden	DE	Hochschule für Technik und Wirtschaft	https://www.openstreetmap.org/way/98136889	- 	Die FOSSGIS-Konferenz ist die führende Konferenz für Freie und Open Source Software Geo-Software und OpenStreetMap.										
20190314	20190316	Free Silicon Conference			FSiC2019	https://f-si.org/	Paris	FR	Sorbonne University	https://www.openstreetmap.org/way/17044233#map=19/48.83982/2.35396	- 											
20190314	20190315	t3chfest	t3chfest		T3chfest2019	https://t3chfest.uc3m.es/2019/	Madrid	ES	Auditorio Universidad Carlos III	https://www.openstreetmap.org/#map=18/40.33250/-3.76546	https://t3chfest.uc3m.es/2019/codigo-conducta/											
20190316	20190317	Chemnitzer Linux-Tage	Chemnitzer Linux-Tage	CLT	CLT2019	https://chemnitzer.linux-tage.de/2019/	Chemnitz	DE	Technische Universität Chemnitz	https://www.openstreetmap.org/way/30742889		The Chemnitz Linux Days stand for a cosmopolitan and peaceful communication with each other. We promote and welcome an open society, from which many new and good ideas emerge. We warmly welcome guests of all nations and look forward to 16./17. March 2019 and our international audience at the 21. Chhemnitzer Linux-Tagen										
20190320	20190317	Libre en Fête across France				https://www.libre-en-fete.net/2019/																
20190325	20190329	Taller de Periodismo de Datos				https://www.medialab-prado.es/programas/taller-de-periodismo-de-datos-2019-sigue-el-rastro-de-la-comida	Madrid	ES	Medialab Prado	https://www.openstreetmap.org/way/219016719												
20190401	20190403	Collaborations Workshop				https://www.software.ac.uk/cw19	Loughborough	UK	Loughborough University	https://www.openstreetmap.org/way/38046982	https://software.ac.uk/cw19/code-conduct											
20190401	20190405	Internet Freedom Festival		IFF		https://internetfreedomfestival.org/	Valencia	ES	Las Naves	https://www.openstreetmap.org/way/158789093	https://internetfreedomfestival.org/wiki/index.php/Code_of_Conduct	The Internet Freedom Festival is the only organization focused entirely in community development for the Internet Freedom field. We design programs and tools to bring together the eclectic plethora of activist groups, NGOs, governmental agencies, media organizations, large internet platforms, and many others who rely on each other to achieve the common goal of a free and open internet for all.								1700		
20190404	20190407	Software Freedom Kosova		SFK		https://sfk.flossk.org/sfk19/	Prishtina	KO	Kino Armata	https://www.openstreetmap.org/?mlat=42.66068&mlon=21.16014#map=19/42.66068/21.16014	https://sfk.flossk.org/sfk19/#collapseabout1	Software Freedom Kosova is the annual international conference held in Kosovo organized to promote free/libre open source software, free culture and open knowledge, now in its 8th edition and 10th anniversary (yaaay!). It is organized by FLOSSK, a non governmental, not for profit organization, dedicated to promotion of software freedom and related philosophies. Almost all sessions will be held in English. Entry is free, thanks to our partners and supporters, but you have to register. 										
20190406	20190406	Linux InfoTag				https://www.luga.de/Aktionen/LIT-2019/	Augsburg	DE	Hochschule Augsburg	https://www.openstreetmap.org/index.html?mlat=48.3584&mlon=10.9061&zoom=16	- 	Auf dem Linux-Infotag können sich Neulinge einen Überblick über die Anwendungsmöglichkeiten von Linux und Open-Source-Software verschaffen und fortgeschrittene NutzerInnen können sich durch den Einblick in neue Entwicklungen inspirieren lassen. Projektstände bieten die Möglichkeit zum direkten Kontakt zwischen EntwicklerInnen, ProtagonistInnen und AnwenderInnen. Außerdem wird der Bogen zu allgemeineren Themen wie Kunst und digitale Gesellschaft gespannt.	20190324	https://frab.luga.de/en/LIT2019/cfp/						350		
20190406	20190406	Open Education Day	Open Education Day			https://openeducationday.ch/	Bern	CH	Pädagogische Hochschule	https://www.openstreetmap.org/node/6140870034	- 	Mit einer breiten Palette von Referaten, Workshops und Kurzpräsentationen vermittelt die kostenlose Tagung Wissen und Erfahrung zu Open Source Technologien, Open Content und Informatikkompetenzen im Lehrplan 21.										
20190406	20190407	Les Journées du Logiciel Libre	Les Journées du Logiciel Libre			https://jdll.org/	Lyon	FR	Maison Pour Tous – salle des Rancy 	https://www.openstreetmap.org/way/49680968	- 	Lieu de rencontre bouillonnant depuis 1998, les journées du logiciel libre accueillent le temps d'un week-end les curieuses et curieux de tout bord. Qu'importe votre niveau, venez vous initier, partager vos idées, vos programmes, vos projets et construire ensemble des lendemains plus libres !	20190214	https://jdll.org/participer								
20190406	20190407	16th Linux Session 	16th Linux Session 			https://16.sesja.linuksowa.pl/en	Wrocław	PL	Congress Center of the Wrocław University	https://www.openstreetmap.org/#map=18/51.11043/17.06002		Linux Session is a conference about Open Source solutions and latest trends in Linux-based systems.	open	https://16.sesja.linuksowa.pl/en#cfp								
20190407	20190410	foss-north	foss-north			https://foss-north.se/2019/	Gothenburg	SE					20190224	https://foss-north.se/2019/contribute.html#call-for-papers								
20190410	20190412	DjangoCon Europe	DjangoCon Europe			https://2019.djangocon.eu/	Copenhagen	DK					20190120	https://2019.djangocon.eu/cfp/								
20190418	20190419	DORS/CLUC	DORS/CLUC			https://2019.dorscluc.org/conference/	Zagreb	HR					20190309	https://2019.dorscluc.org/talk-workshop-applications/								
20190419	20190422	Easterhegg	Easterhegg			https://eh19.easterhegg.eu/	Vienna	AU					20190225	https://conference.c3w.at/eh19/cfp								
20190419	20190422	Hack the Earth				https://calafou.org/en/content/programa-hack-earth-2019-futurotop%C3%ADas/	Calafou	ES														
20190426	20190427	Grazer LinuxTage	Grazer LinuxTage			https://www.linuxtage.at/	Graz	AU					20190217	https://pretalx.linuxtage.at/glt19/cfp								
20190426	20190427	Linuxwochen	Linuxwochen			https://www.linuxwochen.at/linuxwochen-eisenstadt-summary	Eisenstadt	AT					open	https://www.linuxwochen.at/linuxwochen-eisenstadt-summary								
20190427	20190427	FLISOL	Festival Latinoamericano de Instalación de Software Libre			https://flisol.info/FLISOL2019/Espana																
20190427	20190427	Frühlingsfest				https://fruehlingsfest.frama.site/	Munich	DE														
																						
20190502	20190504		LinuxWochenWien				Vienna	AT														
20190504	20190505	FOSSA	Free and Open Source Software Auditing 	EU-FOSSA2	FOSSA	https://eufossahackathon.bemyapp.com/	Brussels	BE	Silversquare Europe	https://www.openstreetmap.org/node/2656943066	No	The next EU-FOSSA 2 Hackathon, on 4/5th May, has broadened its scope. It will still have a large focus on Apache Tomcat, but will now also include other communities under the Apache Software Foundation (ASF). Aditionally, the Hackathon will be offering training sessions on some of the latest ASF projects.	open	https://www.openstreetmap.org/node/2656943066	Hackathon,Public Administration		50.84074	4.36903	0	50		yes
20190504	20190504		Libertybits				Sofia	BG														
20190506	20190512		Drupalcamp Spain			https://2019.drupalcamp.es/	Conil	ES					open	https://docs.google.com/forms/d/e/1FAIpQLScxHHPbOIin_6N0Oeft9aqVQN8iUo9JZREk_VqPwGbHvVuaLg/viewform								
20190511	20190511		T-Dose				Eindhoven	NL					20190401	http://www.t-dose.org/2019/cfp								
20190517	20190519		Wikimedia Hackathon				Prague	CZ														
20190518	20190519		Open Source Conference Albania				Tirana	SQ					20190401	https://oscal.openlabs.cc/call-for-proposals/								
20190520	20190523		KubeCon + CloudNativeCon Europe				Barcelona	ES														
20190524	20190525		OpenSouthCode				Malaga	ES					20190303	https://www.opensouthcode.org/conferences/opensouthcode2019#callforpapers								
20190524	20190526		OpenSUSE Conference				Nürnberg	DE														
20190529	20190502		Libre Graphics Meeting				Saarbrücken	DE					20190123	https://libregraphicsmeeting.org/2019/call-for-participation/								
20190530	20190530		OpenTechSummit				Berlin	DE														
20190530	20190602		Gulaschprogrammiernacht		GPN19		Karlsruhe	DE														
20190530	20190602		Toulouse Hacker Space Factory				Toulouse	FR					20190315	https://www.thsf.net/								
20190531	20190602		Hackmeeting				Florence	FR					open	https://hackmeeting.org/hackit19/schedule.en.html								
20190518	20190519		Linuxwochen				Linz	AT					20190704	https://www.linuxwochen-linz.at/2019/home/								
20190604	20190606		drRSE19				Potsdam	DE					20190228	https://derse19.uni-jena.de/derse19/								
20190608	20190609		TuxCon				Plovdiv						open									
20190612	20190613		OW2Con				Paris	FR					20190317	https://www.ow2con.org/view/2019/Call_For_Presentations?year=2019&event=OW2con19								
20190620	20190620		OpenExpo				Madrid	ES					20190303	https://openexpoeurope.com/oe2019/call4papers/?utm_source=Meetup								
20190620	20190620	Open Expo	OpenExpo Europe	OpenExpo	OpenExpo19	https://openexpoeurope.com/	Madrid	ES	La N@ve	https://www.openstreetmap.org/way/37995038	No	An Open-IT fair that also runs Open Awards	20190317	https://openexpoeurope.com/oe2019/call4papers/	Business,Conference,Fair	trends	40.34747	-3.69662	40	3500		yes
20190620	20190622		WordCamp Europe				Berlin	DE					20190107	https://apply.wp-europe.org/								
20190701	20190703	Pass the SALT	Pass the SALT			https://2019.pass-the-salt.org/	Lille	FR	Polytech Lille	https://www.openstreetmap.org/way/79509053	https://2019.pass-the-salt.org/code-of-conduct/		20190331	https://cfp.pass-the-salt.org/	Conference,Community	security	50.60774	3.13634	0		EN	yes
20190706	20190706	Tübix	Tübix			http://tuebix.org	Tübingen	DE	Gebäude auf dem Sand	https://www.openstreetmap.org/way/8044916#map=17/48.53476/9.07111			20190501	https://www.tuebix.org/callforpapers/	Conference,Community		48.53448	9.07103	0		DE	yes
20190725	20190728	Camp++	Camp++			https://camp.hsbp.org/2019/pp7e3/	Komárom	HU	Fort Monostor	https://www.openstreetmap.org/?mlat=47.750556&mlon=18.093889&zoom=15#map=15/47.7506/18.0939			20190524	https://camp.hsbp.org/2019/pp7e3/cfp.html	Conference,Community,Camp		47.7506	18.0939	calculated among participants			yes
20190801	20190804	Technik Camp	Technik Camp			https://freifunk-bodensee.net/camp/	Überlingen	DE	Campus der Waldorfschule Überlingen	https://ffbsee.net/map/					Conference,Community,Camp	CCC	47.77286	9.20153				
		Flock	Flock			https://flocktofedora.org/									Conference,Community	Fedora						
		FrOSCon	Froscon																			
20190808	20190815		Bornhack			https://bornhack.dk/bornhack-2019/							20190601	https://bornhack.dk/bornhack-2019/program/call-for-participation/								
20190820	20190822		OpenSym			https://opensym.org/os2019	Skövde	SE					20190331	https://opensym.org/os2019/call-for-papers/								
20190821	20190825	Chaos Communication Camp	Chaos Communication Camp	CCCamp	camp19		Mildenberg	DE	Ziegeleimuseum Mildenberg	https://www.openstreetmap.org/#map=15/53.0306/13.3067			20190611	https://events.ccc.de/2019/05/22/call-for-participation-chaos-communication-camp-2019/	Conference,Community,Camp,Festival	CCC	53.0306	13.3014	295	5000		yes
20190822	20190825		LVEE			https://lvee.org/en/main	Minsk	BY					20190804	https://lvee.org/en/reports/abstract								
20190823	20190828	GUADEC	GNOME Users And Developers European Conference	GUADEC	guadec	https://2019.guadec.org/	Thessaloniki	GR	University of Macedonia	https://www.openstreetmap.org/way/14791176	https://2019.guadec.org/pages/code-of-conduct.html		20190519	https://www.gnome.org/news/2019/04/guadec-2019-call-for-papers/	Conference,Community,Unconference	Gnome	40.6247	22.9606	0			yes
20190910	20190913		Libre Office Conference			https://conference.libreoffice.org/2019/	Almería	ES					20190630	https://conference.libreoffice.org/2019/call-for-papers/								
20190913	20190913	Das ist Netzpolitik!	Das ist Netzpolitik!		np15	https://netzpolitik.org/14np/	Berlin	DE	Volksbühne	https://www.openstreetmap.org/node/2212283250		Die Konferenz: In 24 Stunden wird auf drei Bühnen in der großartigen Volksbühne Berlin und im Anschluss im Mensch Meier ein Rundumschlag über alle relevanten aktuellen Debatten der digitalen Welt stattfinden.			Conference,Community	Netzpolitik	52.5266	13.41175	20			tba
20190914	20190916		Balccon			https://2k19.balccon.org	Novi Sad	RS					20190701	https://2k19.balccon.org/index.php?title=BalCCon2k19_CfP								
																						
20190914	20190914		Open Source and GNU/Linux 			https://osdn.org.ua/	Kiew	UA														
20190918	20190922		End Summer Camp			https://www.endsummercamp.org																
20190927	20190927		educode			http://www.educode.be																
20191122	20191124		FIfF-Konferenz			https://2019.fiffkon.de/																
20200201	20200202	FOSDEM	Free and Open Source Software Developers European Meeting	FOSDEM	fosdem	https://fosdem.org/2020/	Brussels	BE	Université Libre Bruxelles	https://www.openstreetmap.org/?mlat=50.81295&mlon=4.38002#map=18/50.81295/4.38002	https://fosdem.org/2019/practical/conduct/	<p>FOSDEM is a free event for software developers to meet, share ideas and collaborate.</p> <p>Every year, thousands of developers of free and open source software from all over the world gather at the event in Brussels.</p>			Conference,Community	development,security	50.81328	4.37943	0	7500		yes
